,mean_x,max_x,min_x,sd_x,mean_y,max_y,min_y,sd_y,mean_z,max_z,min_z,sd_z,act,time,time0_start,time1_finish
60,7.182,7.182,7.182,0,-1.819,-1.819,-1.819,0,-5.822,-5.822,-5.822,0,SITTING,2019-06-13 02:23:00,2019-06-13 02:02:25,2019-06-13 02:27:41
61,-3.37277456647399,9.27,-17.123,4.73925966044453,3.56819075144509,6.933,-4.865,2.71181825288092,5.22834682080925,10.182,-1.219,4.293796534693,SITTING,2019-06-13 02:24:00,2019-06-13 02:02:25,2019-06-13 02:27:41
62,-2.25812631578947,3.179,-8.772,3.14996551903487,2.32953684210526,9.96,-11.722,3.57820461283138,6.9968,10.505,-2.308,3.82895074400285,SITTING,2019-06-13 02:26:00,2019-06-13 02:02:25,2019-06-13 02:27:41
63,3.907,3.907,3.907,0,5.458,5.458,5.458,0,9.031,9.031,9.031,0,SITTING,2019-06-13 02:27:00,2019-06-13 02:02:25,2019-06-13 02:27:41
64,-0.331794258373206,-0.229,-0.421,0.035415945528031,0.15544976076555,0.268,0.038,0.0440074142839786,9.79947368421053,9.8,9.799,0.000500505817024055,SITTING,2019-06-13 02:28:00,2019-06-13 02:27:53,2019-06-13 02:28:05
65,6.37795317725753,9.759,4.673,0.590410928857493,-3.30561872909699,1.063,-5.976,1.4806679049499,-6.48505351170569,-4.118,-11.291,0.532924907335388,SITTING,2019-06-13 02:29:00,2019-06-13 02:28:37,2019-06-13 02:30:59
66,1.99672195121951,4.319,-2.825,0.678050569110213,-5.95084878048781,0,-10.295,1.14627505064293,-0.754843902439024,1.072,-4.721,0.498572378587682,SITTING,2019-06-13 02:30:00,2019-06-13 02:28:37,2019-06-13 02:30:59
67,-0.499533980582524,5.65,-8.437,2.04152529450604,-3.84677669902913,6.081,-18.809,7.39958353993842,3.35997572815534,10.755,-17.89,5.20916433580827,WALKING,2019-06-13 02:33:00,2019-06-13 02:32:37,2019-06-13 02:33:46
68,0.897760765550239,0.996,0.766,0.0419573981670644,-0.0954306220095694,0,-0.191,0.0407521379818533,9.76443062200957,9.767,9.762,0.000852721940258531,STANDING,2019-06-13 02:34:00,2019-06-13 02:33:45,2019-06-13 02:34:26
69,7.55281951219512,7.613,0,0.531890322626463,-0.677780487804878,0,-0.794,0.0742578682023458,-5.9283756097561,9.807,-6.311,1.13806435704434,WALKING,2019-06-13 02:35:00,2019-06-13 02:34:27,2019-06-13 02:40:32
70,7.55281951219512,7.613,0,0.531890322626463,-0.677780487804878,0,-0.794,0.0742578682023458,-5.9283756097561,9.807,-6.311,1.13806435704434,WALKING,2019-06-13 02:35:00,2019-06-13 02:34:27,2019-06-13 02:40:32
71,7.55281951219512,7.613,0,0.531890322626463,-0.677780487804878,0,-0.794,0.0742578682023458,-5.9283756097561,9.807,-6.311,1.13806435704434,DOWNSTAIRS,2019-06-13 02:35:00,2019-06-13 02:34:26,2019-06-13 02:36:12
