"","X.1","X","mean_x","max_x","min_x","sd_x","mean_y","max_y","min_y","sd_y","mean_z","max_z","min_z","sd_z","act","time","time0_start","time1_finish"
"79",79,78,-9.81172759856631,-9.404,-10.046,0.0520234900420455,-0.662197132616487,0.316,-0.833,0.280565898834607,1.47894623655914,2.873,0.287,0.394588795131058,"WALKING","2019-06-13 04:02:00","2019-06-13 04:00:58","2019-06-13 04:04:38"
"80",80,79,7.24,7.24,7.24,0,-2.106,-2.106,-2.106,0,-6.033,-6.033,-6.033,0,"WALKING","2019-06-13 04:03:00","2019-06-13 04:00:58","2019-06-13 04:04:38"
"81",81,80,0.715233333333333,17.277,-7.249,3.45568405962631,-2.42503,9.452,-18.311,5.31652488869126,-0.89794,18.627,-15.898,7.68841689497279,"WALKING","2019-06-13 04:04:00","2019-06-13 04:00:58","2019-06-13 04:04:38"
"82",82,81,-9.6041875,-9.548,-9.768,0.0275154741152948,-0.381333333333333,-0.306,-0.478,0.031136259676889,3.32879166666667,3.543,3.122,0.0731772062104856,"SITTING","2019-06-13 04:05:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"83",83,82,-4.721,-4.721,-4.721,0,-1.513,-1.513,-1.513,0,-8.619,-8.619,-8.619,0,"SITTING","2019-06-13 04:06:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"84",84,83,-4.78041517857143,-4.721,-4.788,0.0178245545850748,-1.39766964285714,-1.34,-1.513,0.0380339448088074,-8.63808482142857,-8.494,-8.667,0.0612733853368704,"SITTING","2019-06-13 04:07:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"85",85,84,-9.5930701754386,-9.328,-10.027,0.0716646777986423,-0.344754385964912,-0.086,-0.747,0.106929238267841,3.40764210526316,4.127,2.336,0.196832339954313,"SITTING","2019-06-13 04:08:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"86",86,85,-9.47370103092784,-1.484,-9.787,0.822776044925405,-0.501061855670103,-0.229,-11.779,1.15854145745158,3.51743298969072,4.118,2.241,0.274194080717188,"SITTING","2019-06-13 04:09:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"87",87,86,-1.87784,8.571,-5.593,1.37319271596668,-3.43583,0.804,-12.766,1.76822868715189,8.85222666666666,17.985,-2.968,2.04464290868496,"SITTING","2019-06-13 04:10:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"88",88,87,-2.49745,-1.905,-5.037,0.431982209817328,-2.59763333333333,-1.426,-4.817,0.460052649548663,9.36288333333333,10.87,7.69,0.238011585372352,"SITTING","2019-06-13 04:11:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"89",89,88,2.413,2.413,2.413,0,-7.498,-7.498,-7.498,0,-5.363,-5.363,-5.363,0,"SITTING","2019-06-13 04:12:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"90",91,90,-0.0742,2.078,-6.301,0.553171736352885,-9.73624333333333,-5.612,-14.461,0.412902975300812,-1.64396,1.321,-8.494,1.65386807730355,"SITTING","2019-06-13 04:14:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"91",92,91,-0.0614859813084112,0.498,-0.555,0.228576041782804,-9.75073831775701,-9.098,-10.036,0.124710406916864,-1.40347663551402,0.766,-3.505,1.66662233470106,"SITTING","2019-06-13 04:15:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"92",93,92,-4.22405208333333,-3.993,-4.549,0.0850910805878854,-1.29272916666667,-1.034,-1.455,0.0766235471800682,8.99901041666667,9.174,8.858,0.0595338903556385,"SITTING","2019-06-13 04:16:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"93",94,93,6.866,6.866,6.866,0,-5.037,-5.037,-5.037,0,-5.391,-5.391,-5.391,0,"SITTING","2019-06-13 04:17:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"94",95,94,-5.44297708674304,6.933,-12.316,2.09837818626407,-1.52460392798691,3.399,-17.258,3.12521927523168,7.19891489361702,11.31,-8.035,2.38302765459847,"SITTING","2019-06-13 04:18:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"95",96,95,2.23925714285714,5.889,-15.371,5.44084889684047,0.907319047619048,6.828,-10.515,5.63822684877081,5.65172857142857,11.559,-1.589,3.92016909576247,"SITTING","2019-06-13 04:19:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"96",97,96,-2.95423986486486,-1.762,-4.146,0.227122366552606,-3.48741891891892,-2.786,-4.702,0.226507470255484,8.94603378378378,9.941,8.178,0.159690544620612,"SITTING","2019-06-13 04:20:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"97",98,97,-3.296875,-2.777,-4.06,0.233808344815285,-3.54184375,-3.112,-3.964,0.122185909095848,8.82096875,9.423,8.59,0.115438336524197,"SITTING","2019-06-13 04:21:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"98",99,98,-2.863,-2.863,-2.863,0,-1.063,-1.063,-1.063,0,-9.395,-9.395,-9.395,0,"SITTING","2019-06-13 04:22:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"99",100,99,-2.863,-2.863,-2.863,0,-1.063,-1.063,-1.063,0,-9.395,-9.395,-9.395,0,"SITTING","2019-06-13 04:23:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"100",101,100,-0.865307692307693,5.573,-10.065,2.61060856732897,9.28433974358974,15.371,4.395,2.54536551021731,1.40763461538462,11.023,-4.989,2.72050238502433,"SITTING","2019-06-13 04:24:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"101",102,101,-2.97618055555556,-2.863,-3.294,0.15305189457661,-0.970152777777778,-0.871,-1.11,0.106735510904056,-9.396625,-9.395,-9.404,0.00348613955745974,"SITTING","2019-06-13 04:25:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"102",103,102,-9.51645,-8.743,-9.653,0.122268527468701,0.676806666666667,2.614,0.105,0.465712956460241,3.45236666666667,3.754,3.074,0.1208700021246,"SITTING","2019-06-13 04:26:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"103",104,103,-3.294,-3.294,-3.294,0,-1.11,-1.11,-1.11,0,-9.404,-9.404,-9.404,0,"SITTING","2019-06-13 04:27:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"104",105,104,7.259,7.259,7.259,0,-1.13,-1.13,-1.13,0,-6.234,-6.234,-6.234,0,"SITTING","2019-06-13 04:28:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"105",106,105,-0.0012135922330097,2.059,-2.001,0.315497635256836,-0.0652038834951456,0.584,-1.197,0.170693301339055,9.80693203883495,10.103,9.72,0.0468718030828104,"SITTING","2019-06-13 04:29:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"106",107,106,-4.30100591715976,-0.277,-4.817,0.290283428406813,-0.581923076923077,71,-4.759,3.91375829227182,-7.85623964497041,322.625,-9.605,18.029241793504,"SITTING","2019-06-13 04:30:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"107",108,107,-0.893196172248804,3.83,-6.704,1.45291938033551,1.67643540669856,7.47,-4.443,2.70114248564914,9.13132535885167,11.872,4.903,1.19699563385955,"SITTING","2019-06-13 04:31:00","2019-06-13 04:04:41","2019-06-13 04:31:01"
"108",109,108,-9.63257777777778,-9.567,-9.72,0.0228197518316468,0.202511111111111,0.277,0.143,0.0246450051663707,-3.4825,-3.361,-3.639,0.058382360349681,"CYCLING","2019-06-13 09:44:00","2019-06-13 09:43:05","2019-06-13 09:44:40"
